Time(s),Actual_State_Of_Charge,Estimated_State_Of_Charge
0.01,0.999944,1.000002
0.02,0.999889,0.999618
0.03,0.999833,0.999605
0.04,0.999778,0.999697
0.05,0.999722,0.999717
0.06,0.999667,0.999562
0.07,0.999611,0.999532
0.08,0.999556,0.999574
0.09,0.999500,0.999570
0.10,0.999444,0.999457
0.11,0.999389,0.999389
0.12,0.999333,0.999279
0.13,0.999278,0.999316
0.14,0.999222,0.999185
0.15,0.999167,0.999151
0.16,0.999111,0.999066
0.17,0.999056,0.999021
0.18,0.999000,0.998945
0.19,0.998944,0.998962
0.20,0.998889,0.998938
0.21,0.998833,0.998796
0.22,0.998778,0.998699
0.23,0.998722,0.998683
0.24,0.998667,0.998581
0.25,0.998611,0.998551
0.26,0.998556,0.998490
0.27,0.998500,0.998456
0.28,0.998444,0.998400
0.29,0.998389,0.998313
0.30,0.998333,0.998271
0.31,0.998278,0.998172
0.32,0.998222,0.998150
0.33,0.998167,0.998088
0.34,0.998111,0.998018
0.35,0.998056,0.997979
0.36,0.998000,0.997875
0.37,0.997944,0.997841
0.38,0.997889,0.997810
0.39,0.997833,0.997660
0.40,0.997778,0.997652
0.41,0.997722,0.997550
0.42,0.997667,0.997541
0.43,0.997611,0.997485
0.44,0.997556,0.997483
0.45,0.997500,0.997362
0.46,0.997444,0.997292
0.47,0.997389,0.997184
0.48,0.997333,0.997107
0.49,0.997278,0.997063
0.50,0.997222,0.996980
0.51,0.997167,0.996869
0.52,0.997111,0.996821
0.53,0.997056,0.996694
0.54,0.997000,0.996625
0.55,0.996944,0.996657
0.56,0.996889,0.996569
0.57,0.996833,0.996522
0.58,0.996778,0.996474
0.59,0.996722,0.996496
0.60,0.996667,0.996458
0.61,0.996611,0.996516
0.62,0.996556,0.996463
0.63,0.996500,0.996446
0.64,0.996444,0.996440
0.65,0.996389,0.996368
0.66,0.996333,0.996319
0.67,0.996278,0.996218
0.68,0.996222,0.996162
0.69,0.996167,0.996116
0.70,0.996111,0.995985
0.71,0.996056,0.996007
0.72,0.996000,0.996017
0.73,0.995944,0.995894
0.74,0.995889,0.995797
0.75,0.995833,0.995768
0.76,0.995778,0.995671
0.77,0.995722,0.995520
0.78,0.995667,0.995447
0.79,0.995611,0.995392
0.80,0.995556,0.995376
0.81,0.995500,0.995281
0.82,0.995444,0.995170
0.83,0.995389,0.995182
0.84,0.995333,0.995199
0.85,0.995278,0.995071
0.86,0.995222,0.995072
0.87,0.995167,0.995014
0.88,0.995111,0.994996
0.89,0.995056,0.995041
0.90,0.995000,0.995094
0.91,0.994944,0.995072
0.92,0.994889,0.995127
0.93,0.994833,0.994995
0.94,0.994778,0.994928
0.95,0.994722,0.994871
0.96,0.994667,0.994869
0.97,0.994611,0.994885
0.98,0.994556,0.994692
0.99,0.994500,0.994496
1.00,0.994444,0.994301
1.01,0.994389,0.994101
1.02,0.994333,0.994030
1.03,0.994278,0.993883
1.04,0.994222,0.993791
1.05,0.994167,0.993747
1.06,0.994111,0.993558
1.07,0.994056,0.993414
1.08,0.994000,0.993351
1.09,0.993944,0.993491
1.10,0.993889,0.993530
1.11,0.993833,0.993516
1.12,0.993778,0.993285
1.13,0.993722,0.993123
1.14,0.993667,0.993028
1.15,0.993611,0.993169
1.16,0.993556,0.993316
1.17,0.993500,0.993483
1.18,0.993444,0.993362
1.19,0.993389,0.993303
1.20,0.993333,0.993337
1.21,0.993278,0.993339
1.22,0.993222,0.993411
1.23,0.993167,0.993491
1.24,0.993111,0.993458
1.25,0.993056,0.993326
1.26,0.993000,0.993120
1.27,0.992944,0.993146
1.28,0.992889,0.993036
1.29,0.992833,0.993120
1.30,0.992778,0.993094
1.31,0.992722,0.993078
1.32,0.992667,0.992925
1.33,0.992611,0.993095
1.34,0.992556,0.992978
1.35,0.992500,0.992992
1.36,0.992444,0.993038
1.37,0.992389,0.993216
1.38,0.992333,0.993129
1.39,0.992278,0.992829
1.40,0.992222,0.992708
1.41,0.992167,0.992804
1.42,0.992111,0.992734
1.43,0.992056,0.992622
1.44,0.992000,0.992544
1.45,0.991944,0.992695
1.46,0.991889,0.992686
1.47,0.991833,0.992564
1.48,0.991778,0.992410
1.49,0.991722,0.992432
1.50,0.991667,0.992420
1.51,0.991611,0.992386
1.52,0.991556,0.992525
1.53,0.991500,0.992417
1.54,0.991444,0.992317
1.55,0.991389,0.992121
1.56,0.991333,0.992092
1.57,0.991278,0.991955
1.58,0.991222,0.991788
1.59,0.991167,0.991984
1.60,0.991111,0.991986
1.61,0.991056,0.991893
1.62,0.991000,0.991895
1.63,0.990944,0.992137
1.64,0.990889,0.992126
1.65,0.990833,0.992043
1.66,0.990778,0.992228
1.67,0.990722,0.992139
1.68,0.990667,0.991800
1.69,0.990611,0.991711
1.70,0.990556,0.991829
1.71,0.990500,0.991672
1.72,0.990444,0.991754
1.73,0.990389,0.991425
1.74,0.990333,0.991298
1.75,0.990278,0.991144
1.76,0.990222,0.991025
1.77,0.990167,0.991081
1.78,0.990111,0.991122
1.79,0.990056,0.991136
1.80,0.990000,0.991054
1.81,0.989944,0.990953
1.82,0.989889,0.991048
1.83,0.989833,0.991012
1.84,0.989778,0.991076
1.85,0.989722,0.990940
1.86,0.989667,0.990755
1.87,0.989611,0.990685
1.88,0.989556,0.990630
1.89,0.989500,0.990565
1.90,0.989444,0.990462
1.91,0.989389,0.990380
1.92,0.989333,0.990525
1.93,0.989278,0.990195
1.94,0.989222,0.990111
1.95,0.989167,0.989822
1.96,0.989111,0.989812
1.97,0.989056,0.989890
1.98,0.989000,0.989859
1.99,0.988944,0.990151
2.00,0.988889,0.990087
2.01,0.988833,0.990213
2.02,0.988778,0.990292
2.03,0.988722,0.990557
2.04,0.988667,0.990437
2.05,0.988611,0.990139
2.06,0.988556,0.990099
2.07,0.988500,0.989850
2.08,0.988444,0.989662
2.09,0.988389,0.989596
2.10,0.988333,0.989728
2.11,0.988278,0.989405
2.12,0.988222,0.989354
2.13,0.988167,0.989119
2.14,0.988111,0.989217
2.15,0.988056,0.989209
2.16,0.988000,0.989002
2.17,0.987944,0.989160
2.18,0.987889,0.989060
2.19,0.987833,0.989190
2.20,0.987778,0.989000
2.21,0.987722,0.988826
2.22,0.987667,0.989061
2.23,0.987611,0.989168
2.24,0.987556,0.989276
2.25,0.987500,0.989309
2.26,0.987444,0.989004
2.27,0.987389,0.989277
2.28,0.987333,0.989039
2.29,0.987278,0.989161
2.30,0.987222,0.989441
2.31,0.987167,0.989554
2.32,0.987111,0.989419
2.33,0.987056,0.989231
2.34,0.987000,0.989123
2.35,0.986944,0.989002
2.36,0.986889,0.988796
2.37,0.986833,0.988671
2.38,0.986778,0.988632
2.39,0.986722,0.988588
2.40,0.986667,0.988404
2.41,0.986611,0.988686
2.42,0.986556,0.988890
2.43,0.986500,0.989088
2.44,0.986444,0.988797
2.45,0.986389,0.988531
2.46,0.986333,0.988195
2.47,0.986278,0.987969
2.48,0.986222,0.988019
2.49,0.986167,0.987960
2.50,0.986111,0.988008
2.51,0.986056,0.988079
2.52,0.986000,0.987610
2.53,0.985944,0.987336
2.54,0.985889,0.987199
2.55,0.985833,0.986937
2.56,0.985778,0.986749
2.57,0.985722,0.986773
2.58,0.985667,0.986993
2.59,0.985611,0.986899
2.60,0.985556,0.986803
2.61,0.985500,0.986297
2.62,0.985444,0.986445
2.63,0.985389,0.986248
2.64,0.985333,0.986076
2.65,0.985278,0.986015
